"","x"
"807","KCNH6"
"808","KIAA0556"
"809","KIF3B"
"810","MUC6"
"811","NOL4"
"812","SLC37A2"
"813","SPEG"
"814","TARSL2"
"815","TRPC7"
"816","TRPM6"
"817","BBS12"
"818","BIRC6"
"819","GPR153"
"820","KIF13A"
"821","L1CAM"
"822","RHAG"
"823","ZNF578"
"824","AGBL5"
"825","ALCAM"
"826","BAIAP3"
"827","CCDC39"
"828","CR1L"
"829","EVC2"
"830","KIAA2022"
"831","LARGE"
"832","LTBP3"
"833","MCM7"
"834","NISCH"
"835","PAN2"
"836","SLC16A7"
"837","TRAPPC11"
"838","AHNAK2"
"839","AMD1"
"840","FBRS"
"841","COLGALT2"
"842","KCNT2"
"843","KIF4A"
"844","PKD2L1"
"845","RBM25"
"846","TNRC18"
"847","TTC30A"
"848","USP6NL"
"849","ABCA4"
"850","ADAMTS7"
"851","ARHGAP30"
"852","CCDC129"
"853","CHD4"
"854","COL11A1"
"855","CSGALNACT2"
"856","CTNND2"
"857","DROSHA"
"858","FAM65B"
"859","FREM2"
"860","IL4R"
"861","ITGA2"
"862","KCNK9"
"863","MPDZ"
"864","NEFM"
"865","PCDHA5"
"866","RASGRF2"
"867","SLC32A1"
"868","SLC4A3"
"869","SNAP91"
"870","STXBP5L"
"871","TBC1D21"
"872","UROC1"
"873","WDR45B"
"874","OR2S2"
"875","COL9A3"
"876","ACAN"
"877","ACP1"
"878","ACSF2"
"879","ACTR8"
"880","ADAMTS10"
"881","ADCY1"
"882","ADD1"
"883","AKAP9"
"884","ATAD2B"
"885","ATP11B"
"886","BAI3"
"887","C6"
"888","CACNB1"
"889","DIAPH3"
"890","DNA2"
"891","DNAJC10"
"892","DOPEY1"
"893","AGO3"
"894","EIF3A"
"895","EPB42"
"896","ESPL1"
"897","FAM110B"
"898","FAM208B"
"899","FAM47B"
"900","FCHSD2"
"901","FRMPD1"
"902","GPR65"
"903","GRM3"
"904","GTF3C1"
"905","GYLTL1B"
"906","HIVEP2"
